,iid_target,iid_neighbors
1194,19063,2547
1195,5441,11103
1196,23624,9306
1197,20263,7046
1198,2502,10860
1199,2502,5252
1200,2502,10823
1201,2502,5251
1202,2502,17651
1203,2502,11461
1204,7757,14460
1205,7757,14025
1206,3964,29363
1207,21089,24125
1208,4797,12067
1209,10107,19570
1210,10680,14030
1211,26388,43005
1212,3787,1173
1213,3786,42982
1214,3786,8669
1215,15184,38383
1216,3468,15897
1217,3791,3788
1218,3791,454
1219,3791,2229
1220,3791,14314
1221,3791,30079
1222,3791,14319
1223,3771,5531
1224,3773,408
1225,3779,23537
1226,3788,14199
1227,5219,29145
1228,28067,12605
1229,28067,14264
1230,1529,18030
1231,1716,3408
1232,1716,1538
1233,46427,18896
1234,46427,22820
1235,1728,10437
1236,22101,13101
1237,22101,4336
1238,22101,4335
1239,22101,19435
1240,22101,53009
1241,22101,13087
1242,22101,17815
1243,22101,9207
1244,22101,10931
1245,22101,38538
1246,22101,11230
1247,22101,10350
1248,22101,11950
1249,22101,17694
1250,22101,13106
1251,22101,26833
1252,22101,8876
1253,22101,357
1254,22101,18614
1255,22101,13108
1256,22101,13115
1257,22101,17820
1258,22101,22102
1259,22101,38540
1260,22101,13104
1261,22101,42758
1262,22101,28601
1263,22101,13112
1264,22101,26834
1265,22101,17818
1266,22101,13109
1267,22101,28600
1268,22101,38539
1269,22101,51513
1270,22101,49713
1271,22101,44715
1272,22101,35355
1273,22101,17816
1274,22101,50436
1275,22101,45555
1276,22101,43553
1277,22101,42759
1278,22101,46798
1279,22101,13105
1280,22101,44906
1281,22101,39763
1282,22101,3933
1283,22101,41475
1284,22101,41474
1285,22101,13110
1286,22101,51341
1287,22101,52989
1288,22101,17819
1289,13101,4336
1290,13101,4335
1291,13101,19435
1292,13101,53009
1293,13101,17815
1294,13101,10931
1295,13101,38538
1296,13101,17694
1297,13101,13106
1298,13101,26833
1299,13101,8876
1300,13101,357
1301,13101,18614
1302,13101,13108
1303,13101,13115
1304,13101,17820
1305,13101,22102
1306,13101,38540
1307,13101,13104
1308,13101,42758
1309,13101,28601
1310,13101,13112
1311,13101,26834
1312,13101,17818
1313,13101,13109
1314,13101,28600
1315,13101,38539
1316,13101,51513
1317,13101,49713
1318,13101,44715
1319,13101,35355
1320,13101,17816
1321,13101,50436
1322,13101,45555
1323,13101,43553
1324,13101,42759
